cve_concatenada,sequia,racha,full_date_start_racha,full_date_end_racha,racha_meses
5034,D3,3,2012-03-31,2012-05-31,2.0041479291155877
5034,D4,6,2011-09-30,2012-02-29,4.993942380747038
5034,Sin sequia,22,2003-10-31,2005-08-31,22.012772336187602
5035,D0,22,2019-06-30,2020-05-15,10.513562906835869
5035,D1,6,2003-01-31,2003-06-30,4.928232612579314
5035,D2,6,2023-02-15,2023-05-15,2.924084683463726
5035,D3,7,2012-01-31,2012-07-31,5.979588903262901
5035,D4,3,2011-10-31,2011-12-31,2.0041479291155877
5035,Sin sequia,26,2003-09-30,2005-11-30,26.021068194418778
5036,D0,12,2008-09-30,2009-08-31,11.006386168093801
5036,D1,6,2003-01-31,2003-06-30,4.928232612579314
5036,D2,7,2023-01-31,2023-05-15,3.4169079447216575
5036,D3,6,2012-01-31,2012-06-30,4.9610874966631755
5036,D4,3,2011-10-31,2011-12-31,2.0041479291155877
5036,Sin sequia,26,2003-09-30,2005-11-30,26.021068194418778
5037,D0,3,2007-11-30,2008-01-31,2.0370028131994498
5037,D1,4,2009-04-30,2009-07-31,3.0226493357153124
5037,D2,14,2019-10-31,2020-05-15,6.472412164520832
5037,D3,12,2022-02-28,2022-08-15,5.519620526088832
5037,D4,4,2011-09-30,2011-12-31,3.0226493357153124
5037,Sin sequia,24,2003-07-31,2005-08-31,25.035421671902913
5038,D0,9,2017-05-15,2017-09-15,4.041150742315037
5038,D1,13,2012-09-30,2013-09-30,11.992032690609664
5038,D2,13,2019-11-15,2020-05-15,5.979588903262901
5038,D3,8,2011-07-31,2012-02-29,6.998090309862626
5038,D4,3,2011-04-30,2011-06-30,2.0041479291155877
5038,Sin sequia,19,2003-07-31,2005-03-31,20.008624407072013
6001,D0,11,2004-08-31,2005-06-30,9.955029877410214
6001,D1,6,2009-03-31,2009-08-31,5.0267972648309
6001,D2,8,2023-02-15,2023-06-15,3.942586090063451
6001,D3,3,2021-05-15,2021-06-15,1.0185014065997249
6001,Sin sequia,44,2013-08-31,2015-08-31,23.984065381219327
6002,D0,11,2004-08-31,2005-06-30,9.955029877410214
6002,D1,6,2009-03-31,2009-08-31,5.0267972648309
6002,D2,7,2023-02-15,2023-05-31,3.4497628288055195
6002,D3,2,2007-06-30,2007-07-31,1.0185014065997249
6002,Sin sequia,43,2013-09-30,2015-08-31,22.998418858703463
6003,D0,6,2004-08-31,2005-01-31,5.0267972648309
6003,D1,6,2009-03-31,2009-08-31,5.0267972648309
6003,D2,6,2021-02-28,2021-05-15,2.496971190373519
6003,D3,1,2007-06-30,2007-06-30,0.0
6003,Sin sequia,44,2013-08-31,2015-08-31,23.984065381219327
6004,D0,11,2004-08-31,2005-06-30,9.955029877410214
6004,D1,6,2009-03-31,2009-08-31,5.0267972648309
6004,D2,8,2023-02-15,2023-06-15,3.942586090063451
6004,D3,3,2021-05-15,2021-06-15,1.0185014065997249
6004,Sin sequia,43,2013-08-31,2015-08-15,23.458387235877534
6005,D0,6,2004-08-31,2005-01-31,5.0267972648309
6005,D1,6,2009-03-31,2009-08-31,5.0267972648309
6005,D2,6,2021-02-28,2021-05-15,2.496971190373519
6005,D3,1,2007-06-30,2007-06-30,0.0
6005,Sin sequia,38,2013-09-30,2015-06-15,20.468592784246084
6006,D0,11,2004-08-31,2005-06-30,9.955029877410214
6006,D1,6,2009-03-31,2009-08-31,5.0267972648309
6006,D2,8,2023-02-15,2023-06-15,3.942586090063451
